,balance_,duration_,history_,purpose_,amount_,savings_,employment_,available_income_,status_sex_,other_debtors_,residence_,assets_,age_,other_loans_,housing_,previous_loans_,job_,people_liable_,telephone_,foreign_worker_,classification_
132,above 200 EUR,15,paid back all previous loans,used car,2708,no savings account at this bank,less than 1 year,between 25 and 35%,male married or widowed,none,between 4 and 7 years,life insurance,27,at other banks,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
133,above 200 EUR,18,paid back all previous loans,used car,1984,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,none,47,at other banks,for free,2 or 3,skilled,0 to 2,none,no,Approved
134,above 200 EUR,60,paid back all previous loans,furniture,10144,below 100 EUR,between 4  and 7 years,between 25 and 35%,male single,none,more than 7 years,real estate,21,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
135,above 200 EUR,12,paid back previous loans at this bank,furniture,1240,above 1000 EUR,more than 7 years,less than 20%,male single,none,between 1 and 4 years,real estate,38,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
136,above 200 EUR,27,no problems with current loans,new car,8613,between 500 and 1000 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,27,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
137,no balance,12,paid back all previous loans,furniture,766,between 100 and 500 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,between 4 and 7 years,real estate,66,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
138,no balance,15,paid back previous loans at this bank,furniture,2728,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,guarantor,between 1 and 4 years,real estate,35,at other banks,own,4 or 5,skilled,0 to 2,yes,no,Approved
139,below 200 EUR,12,paid back all previous loans,furniture,1881,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,between 1 and 4 years,car,44,no additional loans,rent,1,unskilled (permanent resident),0 to 2,yes,no,Approved
140,below 200 EUR,6,paid back all previous loans,other,709,between 500 and 1000 EUR,less than 1 year,between 25 and 35%,female,none,between 1 and 4 years,real estate,27,no additional loans,own,1,unskilled (non-resident),0 to 2,none,yes,Approved
141,no balance,36,paid back all previous loans,furniture,4795,no savings account at this bank,less than 1 year,less than 20%,male single,none,less than 1 year,none,30,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
142,no account,27,paid back all previous loans,furniture,3416,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,car,27,no additional loans,own,1,executive or self-employed,0 to 2,none,no,Approved
143,no account,18,paid back all previous loans,used car,2462,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,22,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
144,above 200 EUR,21,paid back previous loans at this bank,used car,2288,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,life insurance,23,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
145,no balance,48,other loans exist at other banks,retraining,3566,below 100 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,30,no additional loans,own,1,skilled,0 to 2,none,no,Approved
146,no account,6,paid back previous loans at this bank,other,860,no savings account at this bank,more than 7 years,more than 35%,male single,none,more than 7 years,none,39,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
147,above 200 EUR,12,paid back previous loans at this bank,other,682,below 100 EUR,between 4  and 7 years,less than 20%,male single,none,between 4 and 7 years,car,51,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
148,no account,36,paid back previous loans at this bank,used car,5371,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,guarantor,between 1 and 4 years,life insurance,28,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
149,above 200 EUR,18,paid back previous loans at this bank,furniture,1582,between 500 and 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,46,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
150,above 200 EUR,6,paid back all previous loans,furniture,1346,below 100 EUR,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,none,42,at other banks,for free,1,skilled,3 and more,yes,no,Approved
151,above 200 EUR,10,paid back all previous loans,furniture,1924,no savings account at this bank,between 1 and 4 years,more than 35%,male married or widowed,none,more than 7 years,life insurance,38,no additional loans,own,1,skilled,0 to 2,yes,yes,Approved
152,below 200 EUR,36,paid back all previous loans,furniture,5848,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,less than 1 year,car,24,no additional loans,own,1,skilled,0 to 2,none,no,Approved
153,no balance,24,paid back previous loans at this bank,new car,7758,between 500 and 1000 EUR,more than 7 years,between 25 and 35%,male single,none,more than 7 years,none,29,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
154,no balance,24,no problems with current loans,retraining,6967,below 100 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,car,36,no additional loans,rent,1,executive or self-employed,0 to 2,yes,no,Approved
155,no account,12,paid back all previous loans,used car,1282,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,more than 7 years,car,20,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
156,no account,9,paid back previous loans at this bank,domestic appliances,1288,below 100 EUR,more than 7 years,between 20 and 25%,male married or widowed,guarantor,more than 7 years,real estate,48,no additional loans,own,2 or 3,skilled,3 and more,none,yes,Approved
157,no account,12,other loans exist at other banks,vacation,339,no savings account at this bank,more than 7 years,less than 20%,female,none,less than 1 year,car,45,at other banks,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
158,no balance,24,paid back all previous loans,other,3512,below 100 EUR,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,car,38,at other banks,own,2 or 3,skilled,0 to 2,yes,no,Approved
159,above 200 EUR,6,paid back previous loans at this bank,furniture,1898,above 1000 EUR,between 1 and 4 years,more than 35%,male married or widowed,none,between 1 and 4 years,real estate,34,no additional loans,own,2 or 3,unskilled (permanent resident),3 and more,none,no,Approved
160,above 200 EUR,24,paid back previous loans at this bank,furniture,2872,below 100 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,real estate,36,no additional loans,own,1,skilled,3 and more,yes,no,Approved
161,above 200 EUR,18,paid back previous loans at this bank,other,1055,no savings account at this bank,less than 1 year,less than 20%,male single,none,less than 1 year,life insurance,30,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
162,above 200 EUR,15,paid back all previous loans,television,1262,between 100 and 500 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,life insurance,36,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
163,no balance,10,paid back all previous loans,other,7308,no savings account at this bank,unemployed,between 25 and 35%,male married or widowed,none,more than 7 years,none,70,at other banks,for free,1,executive or self-employed,0 to 2,yes,no,Approved
164,above 200 EUR,36,paid back all previous loans,other,909,between 100 and 500 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,36,no additional loans,own,1,skilled,0 to 2,none,no,Approved
165,above 200 EUR,6,paid back all previous loans,used car,2978,between 100 and 500 EUR,between 1 and 4 years,more than 35%,male married or widowed,none,between 1 and 4 years,car,32,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
166,no account,18,paid back all previous loans,used car,1131,no savings account at this bank,unemployed,less than 20%,male single,none,between 1 and 4 years,car,33,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
167,no balance,11,paid back all previous loans,used car,1577,between 500 and 1000 EUR,less than 1 year,less than 20%,male single,none,less than 1 year,real estate,20,no additional loans,own,1,skilled,0 to 2,none,no,Approved
168,above 200 EUR,24,paid back all previous loans,used car,3972,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male single,none,more than 7 years,life insurance,25,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
169,no balance,24,paid back previous loans at this bank,retraining,1935,no savings account at this bank,more than 7 years,less than 20%,male divorced,none,more than 7 years,real estate,31,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Rejected
170,no account,15,delay payment of previous loans,other,950,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,car,33,no additional loans,rent,2 or 3,skilled,3 and more,none,no,Rejected
171,above 200 EUR,12,paid back all previous loans,used car,763,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,less than 1 year,real estate,26,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
172,no balance,24,no problems with current loans,used car,2064,no savings account at this bank,unemployed,between 20 and 25%,male single,none,between 1 and 4 years,life insurance,34,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Rejected
173,no balance,8,paid back all previous loans,furniture,1414,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,guarantor,between 1 and 4 years,real estate,33,no additional loans,own,1,skilled,0 to 2,none,yes,Approved
174,no account,21,no problems with current loans,repair,3414,no savings account at this bank,less than 1 year,between 25 and 35%,male married or widowed,none,less than 1 year,life insurance,26,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
175,above 200 EUR,30,other loans exist at other banks,new car,7485,above 1000 EUR,unemployed,less than 20%,male single,none,less than 1 year,real estate,53,at other banks,own,1,executive or self-employed,0 to 2,yes,no,Rejected
176,no account,12,paid back all previous loans,used car,2577,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male divorced,none,less than 1 year,car,42,no additional loans,own,1,skilled,0 to 2,none,no,Approved
177,no account,6,paid back previous loans at this bank,furniture,338,between 100 and 500 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,52,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
178,above 200 EUR,12,paid back all previous loans,furniture,1963,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,31,no additional loans,rent,2 or 3,executive or self-employed,3 and more,yes,no,Approved
179,no account,21,paid back previous loans at this bank,other,571,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,65,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
